"id","age","modularity"
7,24.98,0.124044467
7,24.98,0.196017167
7,24.98,0.095381561
7,24.98,0.159680081
7,24.98,0.162190923
7,24.98,0.137173464
7,26.7,0.162726273
7,26.7,0.215897487
7,26.7,0.175866405
7,26.7,0.236895435
7,26.7,0.137599277
8,11.53,0.132469252
8,11.53,0.111311412
8,11.53,0.080339271
8,11.53,0.143188629
8,11.53,0.099049474
8,11.53,0.124640697
8,11.53,0.133187197
8,13.51,0.157405511
8,13.51,0.149823434
8,13.51,0.124516715
8,13.51,0.165940047
8,13.51,0.13129996
8,13.51,0.125527712
8,13.51,0.150180381
8,15.58,0.090406118
8,15.58,0.092790256
8,15.58,0.124819223
8,15.58,0.154765583
8,15.58,0.142914368
9,15.56,0.153274082
9,15.56,0.156371846
9,15.56,0.216848343
9,15.56,0.164220286
9,15.56,0.181380426
9,15.56,0.163342399
9,15.56,0.155108256
9,17.46,0.197081332
9,17.46,0.150768559
9,17.46,0.187786829
9,17.46,0.160010868
9,17.46,0.156092008
9,17.46,0.183213044
9,17.46,0.219546724
10,20.85,0.154773267
10,20.85,0.175019377
10,20.85,0.187904836
10,20.85,0.206025306
10,20.85,0.187135433
10,20.85,0.220970053
10,20.85,0.173463691
10,22.9,0.12801031
10,22.9,0.11488727
10,22.9,0.19400155
10,22.9,0.172764797
10,22.9,0.154969266
10,22.9,0.172126579
10,22.9,0.199982603
10,24.96,0.190984665
10,24.96,0.177131652
10,24.96,0.183441411
10,24.96,0.20737553
10,24.96,0.191782137
11,10.61,0.122614249
11,10.61,0.127109857
11,10.61,0.095845758
11,10.61,0.094873253
11,10.61,0.105156856
11,10.61,0.142546654
11,10.61,0.081574234
11,12.72,0.167411268
11,12.72,0.143743648
11,12.72,0.147232563
11,12.72,0.169371522
11,12.72,0.165831072
11,12.72,0.22990539
11,12.72,0.215665635
11,14.59,0.090645914
11,14.59,0.102683107
11,14.59,0.178064584
11,14.59,0.160040181
11,14.59,0.136554272
12,13.08,0.163916073
12,13.08,0.187338905
12,13.08,0.160742936
12,13.08,0.197251738
12,13.08,0.171466761
12,13.08,0.250393397
12,13.08,0.241307315
12,15.3,0.133903193
12,15.3,0.189559506
12,15.3,0.202035614
12,15.3,0.192826715
12,15.3,0.179067684
12,15.3,0.191542144
12,15.3,0.203247556
12,17.2,0.051526811
12,17.2,0.086767172
12,17.2,0.102766995
